id,year,q01_happy,q02_satisfied_general,q03_satisfied_somerville,q04_satisfied_neighborhood,q06a_city_services,q06b_cost_housing,q06c_quality_schools,q06d_trust_police,q06e_sidewalks,q06f_events,q09_safe_at_night,q11_beauty,q10_parks,d01_gender,d02_age,d04_race,d05_num_children,d06_housing_status,d07_plan_to_move,d10_how_long_lived_here,d08_hhi,d09_is_student,d13_ward,q05_city_direction,q07_safe_crossing_street,q08_convenient,q12_housing_condition,move_why,d11_transportation_mode,d12_transportation_month,d03_language
7458,2019,9.0,10.0,7.0,10.0,5.0,1.0,4.0,4.0,3.0,4.0,10.0,9.0,10.0,Male,35,White,No,Rent,Yes,9 years,"$200,000 or more",No,2.0,Not sure,10.0,10.0,10.0,Cost to buy housing too high,Walk,Walk,English
7459,2019,8.0,9.0,10.0,10.0,5.0,2.0,4.0,3.0,4.0,5.0,7.0,6.0,8.0,Female,26,White,No,Rent,No,2.5 years,"$25,000 to $49,999",No,4.0,Right direction,3.0,8.0,6.0,,"Walk, Public transit","Walk, Bike, Public transit, Car",English
7460,2019,6.0,6.0,9.0,7.0,4.0,2.0,3.0,3.0,3.0,4.0,6.0,7.0,7.0,Female,34,Asian,No,Rent,,2.5 years,"$50,000 to 74,999",No,7.0,Not sure,6.0,7.0,8.0,,"Walk, Public transit","Walk, Public transit, Car",English
7461,2019,2.0,2.0,1.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,9.0,1.0,Female,,White,No,,No,,,No,7.0,Wrong track,1.0,1.0,,,Car,Car,
7462,2019,9.0,9.0,9.0,9.0,4.0,2.0,,4.0,3.0,4.0,9.0,8.0,9.0,Female,35,Asian,No,Own,Yes,6 years,"$200,000 or more",No,3.0,,7.0,9.0,10.0,Move to single family,Car,"Walk, Car",English
7463,2019,8.0,8.0,9.0,10.0,5.0,2.0,4.0,3.0,2.0,4.0,7.0,7.0,9.0,Female,,White,No,Own,No,38,,No,1.0,,2.0,8.0,9.0,,Walk,"Walk, Public transit, Car",English
7464,2019,6.0,8.0,6.0,6.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,Female,58,White,No,Own,No,14 years,"$100,000 to $149,999",No,4.0,Not sure,5.0,6.0,7.0,,Car,"Walk, Bike, Public transit, Car",English
7465,2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Female,74,White,No,Own,Yes,65 years,"$10,000 to $24,999",No,4.0,Wrong track,1.0,1.0,1.0,"Somerville sucks, too many bikes, taxes too high, water bills too high",Car,Car,English
7466,2019,10.0,7.0,10.0,8.0,3.0,1.0,3.0,4.0,4.0,5.0,9.0,10.0,10.0,Female,35,White,No,Rent,Yes,9 years,"$100,000 to $149,999",No,7.0,Right direction,10.0,10.0,5.0,Buy a house,Public transit,"Walk, Public transit, Car",English
7467,2019,8.0,9.0,8.0,8.0,2.0,1.0,3.0,4.0,2.0,5.0,10.0,10.0,4.0,Female,30,White,No,Rent,,2 years,"$75,000 to $99,999",No,3.0,Not sure,10.0,10.0,10.0,,"Walk, Bike","Walk, Bike, Public transit, Car",English
