,id,gender,age,hhi,ethnicity,race
285,7676,Female,25 to 34 Years,7,non-hispanic,white
286,7677,Female,25 to 34 Years,8,non-hispanic,white
287,7678,,75 Years & Over,,,
288,7679,,35 to 44 Years,7,non-hispanic,white
289,7680,Male,35 to 44 Years,7,non-hispanic,white
290,7681,Female,25 to 34 Years,4,non-hispanic,white
291,7682,Female,65 to 74 Years,2,non-hispanic,white
292,7683,Female,35 to 44 Years,6,non-hispanic,white
293,7684,Male,35 to 44 Years,8,non-hispanic,white
294,7685,Female,35 to 44 Years,8,non-hispanic,white
295,7686,Male,25 to 34 Years,4,non-hispanic,two_or_more
296,7687,Female,65 to 74 Years,,non-hispanic,white
297,7688,Female,25 to 34 Years,3,non-hispanic,white
298,7689,Female,25 to 34 Years,8,non-hispanic,white
299,7690,Female,65 to 74 Years,2,non-hispanic,white
300,7691,Female,25 to 34 Years,6,non-hispanic,white
301,7692,Male,65 to 74 Years,6,non-hispanic,white
302,7693,Female,35 to 44 Years,6,non-hispanic,white
303,7694,Female,75 Years & Over,3,non-hispanic,white
304,7695,Female,55 to 64 Years,2,non-hispanic,white
305,7696,Female,45 to 54 Years,2,non-hispanic,white
306,7697,Male,35 to 44 Years,4,non-hispanic,asian
307,7698,Female,55 to 64 Years,4,non-hispanic,white
308,7699,Male,25 to 34 Years,8,non-hispanic,white
309,7700,Male,45 to 54 Years,8,non-hispanic,white
310,7701,Male,35 to 44 Years,6,non-hispanic,white
311,7702,Male,75 Years & Over,2,non-hispanic,aa
312,7703,Male,25 to 34 Years,3,non-hispanic,white
313,7704,Male,75 Years & Over,8,non-hispanic,white
314,7705,Female,75 Years & Over,7,,
315,7706,Female,25 to 34 Years,6,non-hispanic,white
316,7707,Female,65 to 74 Years,7,non-hispanic,white
317,7708,Female,25 to 34 Years,7,non-hispanic,white
318,7709,Female,25 to 34 Years,4,non-hispanic,white
319,7710,Male,65 to 74 Years,6,non-hispanic,white
320,7711,Male,45 to 54 Years,1,non-hispanic,white
321,7712,Male,25 to 34 Years,6,non-hispanic,white
322,7713,Male,45 to 54 Years,8,non-hispanic,white
323,7714,Female,35 to 44 Years,8,non-hispanic,asian
324,7715,Female,35 to 44 Years,8,non-hispanic,white
325,7716,Female,75 Years & Over,6,non-hispanic,white
326,7717,Female,18 to 24 Years,6,non-hispanic,white
327,7718,Female,55 to 64 Years,3,non-hispanic,white
328,7719,Female,35 to 44 Years,5,non-hispanic,white
329,7720,Female,35 to 44 Years,6,non-hispanic,white
330,7721,Female,25 to 34 Years,5,non-hispanic,white
331,7722,Female,55 to 64 Years,5,non-hispanic,white
332,7723,Female,35 to 44 Years,8,non-hispanic,white
333,7724,Male,35 to 44 Years,5,non-hispanic,white
334,7725,,75 Years & Over,,,
335,7726,Female,35 to 44 Years,8,non-hispanic,white
336,7727,Male,35 to 44 Years,8,non-hispanic,asian
337,7728,Male,45 to 54 Years,7,non-hispanic,white
338,7729,Male,65 to 74 Years,5,non-hispanic,white
339,7730,,65 to 74 Years,6,non-hispanic,white
340,7731,Female,25 to 34 Years,6,non-hispanic,white
341,7732,Female,35 to 44 Years,6,non-hispanic,white
342,7733,Male,18 to 24 Years,4,non-hispanic,white
343,7734,Female,55 to 64 Years,2,hispanic,
344,7735,Male,25 to 34 Years,1,non-hispanic,white
345,7736,Female,35 to 44 Years,8,non-hispanic,white
346,7737,Male,25 to 34 Years,7,non-hispanic,white
347,7738,Female,25 to 34 Years,7,non-hispanic,asian
348,7739,Female,45 to 54 Years,6,non-hispanic,white
349,7740,Female,45 to 54 Years,8,non-hispanic,asian
350,7741,Male,35 to 44 Years,,,
351,7742,Female,35 to 44 Years,4,non-hispanic,white
