ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Foreign Born",10,"75 Years & Over",2015,"2015",957,209,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.012176347095871239
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6042,"2014",4070,576,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.052475502836513664
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6042,"2014",5364,851,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.06915936049510056
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6042,"2014",9733,1287,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.12548994326972665
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6042,"2014",18334,1500,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.23638473439917485
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6042,"2014",6904,938,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.0890149561629706
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6042,"2014",5215,781,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.06723826714801444
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6042,"2014",2049,508,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.02641825683341929
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6042,"2014",921,356,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.011874677668901495
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6042,"2014",1154,333,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.014878803506962352
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6042,"2014",2510,468,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.032362042289840125
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6042,"2014",2454,423,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.0316400206291903
3,"Foreign Born",0,"Under 5 Years",2014,"2014",79,78,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.0010185662712738526
